station_abbr;station_name;year;n_hours;t_mean_annual_c;t_min_annual_c;t_max_annual_c;t_mean_summer_c;t_p95_summer_c;t_p99_summer_c;cdh_24;cdh_26;hours_above_24;hours_above_26;hours_above_28;hours_above_30;night_hours_below_18;hot_nights_min_gt_18;night_hours_below_20;hot_nights_min_gt_20
INT;Interlaken;2024;8784;10.477;-8.7;31.3;19.117;27.3;29.393;836.4;336.9;321;174;73;11;601;6;775;0
LUG;Lugano;1981;8760;11.629;-5.3;28.5;20.026;25.6;27.4;469.4;82.2;325;83;9;0;456;21;693;4
LUG;Lugano;1982;8760;12.144;-3.5;33.5;20.779;26.8;28.593;913.1;262.9;462;177;37;10;414;23;641;6
LUG;Lugano;1983;8760;11.984;-2.3;36.1;21.322;28.3;30.8;1501.8;670.5;561;294;126;48;369;26;602;15
LUG;Lugano;1984;8784;11.582;-3.2;32.8;20.56;27.8;29.4;1178.7;436.1;503;241;95;9;415;29;642;4
LUG;Lugano;1985;8760;11.798;-8.9;30.1;20.619;27.1;28.493;945.9;278.1;454;217;40;1;406;30;624;5
LUG;Lugano;1986;8760;12.124;-5.4;29.5;20.541;27.0;28.5;911.8;255.6;439;201;42;0;363;37;570;12
LUG;Lugano;1987;8760;11.855;-5.1;29.7;19.86;26.665;28.193;728.3;200.4;376;160;25;0;456;27;615;8
LUG;Lugano;1988;8784;12.396;-2.9;30.1;20.284;27.4;28.9;940.1;325.5;420;202;65;0;438;27;641;6
LUG;Lugano;1989;8760;12.294;-2.5;31.7;20.414;26.6;28.093;834.0;211.2;448;165;23;7;417;23;632;7
LUG;Lugano;1990;8760;12.666;-2.8;31.2;20.813;27.2;29.3;1123.9;357.2;497;248;66;8;367;34;618;7
LUG;Lugano;1991;8760;12.341;-8.1;31.9;21.99;28.7;30.1;1950.8;825.1;693;436;177;24;238;56;425;26
LUG;Lugano;1992;8784;12.386;-2.7;31.4;20.694;28.065;29.8;1327.5;517.4;520;283;111;14;410;34;548;20
LUG;Lugano;1993;8760;12.14;-4.3;30.7;20.769;27.2;28.9;957.1;301.2;455;211;50;4;393;24;645;3
LUG;Lugano;1994;8760;13.199;-3.4;32.7;22.287;29.0;30.893;2129.1;928.1;742;455;187;48;243;49;434;23
LUG;Lugano;1995;8760;12.476;-4.1;30.7;20.78;27.9;29.4;1329.5;478.2;546;289;99;9;338;39;526;17
LUG;Lugano;1996;8784;12.114;-6.0;32.8;20.547;26.6;28.993;798.1;253.4;386;150;42;12;381;33;618;10
LUG;Lugano;1997;8760;13.011;-1.4;30.0;20.268;26.3;27.9;693.9;146.4;413;133;21;0;392;30;611;5
LUG;Lugano;1998;8760;12.467;-2.7;31.8;21.385;27.6;29.5;1308.8;428.3;586;269;84;14;309;40;519;17
LUG;Lugano;1999;8760;12.586;-3.6;29.6;20.825;26.4;28.0;673.1;149.9;389;137;22;0;310;38;605;8
LUG;Lugano;2000;8784;12.971;-4.6;30.8;20.999;26.9;28.693;922.9;265.2;479;184;49;3;327;29;652;5
LUG;Lugano;2001;8760;12.775;-4.1;30.2;21.153;27.4;28.9;1131.8;361.2;526;248;58;1;311;42;544;14
LUG;Lugano;2002;8760;13.158;-3.6;31.2;21.315;27.4;29.793;1104.4;365.8;512;219;69;19;245;42;575;16
LUG;Lugano;2003;8760;13.766;-3.0;35.3;24.596;30.9;33.0;3991.3;2078.8;1167;746;429;188;52;78;195;48
LUG;Lugano;2004;8784;12.657;-2.1;32.0;21.444;27.4;29.393;1154.9;384.4;536;241;67;10;284;40;551;11
LUG;Lugano;2005;8760;12.618;-5.4;32.0;21.714;28.3;30.3;1609.0;640.0;631;341;135;31;310;38;507;18
LUG;Lugano;2006;8760;13.109;-3.2;33.1;21.898;29.1;31.093;1941.3;897.5;651;390;187;56;284;48;475;21
LUG;Lugano;2007;8760;13.585;-2.5;31.3;21.056;27.8;30.193;1231.9;485.3;513;244;99;30;347;31;599;10
LUG;Lugano;2008;8784;12.669;-3.8;31.0;21.017;27.3;28.7;1079.2;331.3;505;249;47;4;329;31;582;8
LUG;Lugano;2009;8760;13.227;-5.0;30.7;21.964;27.7;29.493;1491.9;499.7;648;342;82;11;254;43;478;16
LUG;Lugano;2010;8760;12.172;-4.7;31.2;21.892;28.4;29.893;1606.0;623.1;647;332;143;19;272;43;476;23
LUG;Lugano;2011;8760;13.588;-2.5;32.3;21.175;27.7;30.8;1279.7;483.7;527;261;92;30;379;28;575;14
LUG;Lugano;2012;8784;13.28;-8.3;32.7;22.746;28.7;30.7;2335.7;968.7;840;507;206;42;197;57;379;23
LUG;Lugano;2013;8760;12.886;-2.2;32.1;22.223;29.0;31.2;2153.8;929.4;762;447;199;55;260;49;476;21
LUG;Lugano;2014;8760;13.503;-1.6;31.0;20.171;26.5;29.193;716.5;248.4;329;141;55;9;464;25;682;3
LUG;Lugano;2015;8760;13.823;-1.3;33.2;23.171;30.4;31.8;2961.3;1480.7;890;582;316;129;196;55;394;30
LUG;Lugano;2016;8784;13.333;-2.4;31.0;21.678;28.0;29.593;1526.9;554.3;627;341;109;12;264;44;513;13
LUG;Lugano;2017;8760;13.458;-3.6;32.7;22.875;28.8;31.2;2413.1;981.6;874;516;189;55;161;60;382;31
LUG;Lugano;2018;8760;13.945;-6.0;32.3;22.992;29.1;31.0;2497.6;1086.6;878;528;232;55;191;53;388;21
LUG;Lugano;2019;8760;13.892;-1.9;34.0;23.162;29.8;31.993;2686.0;1222.7;916;535;240;94;156;56;380;29
LUG;Lugano;2020;8784;13.669;-1.1;32.6;22.009;28.6;30.4;1958.1;808.0;720;412;173;29;235;51;447;21
LUG;Lugano;2021;8760;13.158;-3.0;33.1;22.046;28.1;30.293;1696.1;641.2;661;369;114;25;264;42;501;15
LUG;Lugano;2022;8760;14.433;-1.5;33.7;23.953;30.6;32.793;3695.7;1922.9;1048;714;411;153;106;67;300;35
LUG;Lugano;2023;8760;14.282;-1.9;33.3;22.77;29.5;31.393;2301.0;1001.0;827;467;196;73;216;54;410;27
LUG;Lugano;2024;8784;13.901;-1.7;32.8;22.918;29.8;31.4;2652.4;1274.4;857;515;296;78;206;60;330;43
LUZ;Lucerne;1981;8760;9.027;-9.7;29.2;16.847;25.565;28.0;396.9;123.4;180;87;21;0;765;0;819;0
LUZ;Lucerne;1982;8760;9.569;-11.0;30.4;17.809;25.765;28.5;469.5;156.4;220;103;29;3;732;2;801;1
LUZ;Lucerne;1983;8760;9.719;-7.8;34.8;19.32;28.465;31.993;1259.3;647.9;394;227;127;62;632;9;748;1
LUZ;Lucerne;1984;8784;8.617;-6.5;33.5;16.993;25.0;29.2;392.7;166.1;160;74;33;13;758;0;810;0
LUZ;Lucerne;1985;8760;8.34;-18.4;32.3;17.229;25.7;28.4;471.9;182.1;202;96;32;11;741;1;807;0
LUZ;Lucerne;1986;8760;8.817;-14.5;32.2;17.317;26.3;28.8;608.2;203.4;270;131;39;4;715;1;801;0
LUZ;Lucerne;1987;8760;8.757;-19.0;30.4;16.892;25.7;28.0;396.7;125.7;178;96;21;1;723;1;813;0
LUZ;Lucerne;1988;8784;9.928;-8.0;32.0;17.65;26.0;28.3;485.8;170.0;215;103;28;6;731;2;798;0
LUZ;Lucerne;1989;8760;9.807;-4.5;30.3;17.508;25.2;28.1;358.4;104.6;196;68;24;2;739;1;816;0
LUZ;Lucerne;1990;8760;9.973;-8.2;32.2;17.787;26.7;29.393;731.1;281.3;295;155;58;12;734;0;803;0
LUZ;Lucerne;1991;8760;9.584;-10.2;31.6;18.747;26.7;29.1;774.9;270.0;348;156;51;16;586;11;764;0
LUZ;Lucerne;1992;8784;10.176;-9.0;31.6;19.016;27.7;30.3;955.9;431.5;330;195;99;31;589;14;748;1
LUZ;Lucerne;1993;8760;10.003;-8.9;30.9;18.059;26.3;28.4;531.6;180.0;225;126;32;4;638;2;800;0
LUZ;Lucerne;1994;8760;11.301;-6.7;33.0;19.795;28.1;30.9;1245.7;564.1;424;256;116;36;504;19;717;0
LUZ;Lucerne;1995;8760;10.015;-10.0;33.2;18.396;27.2;30.093;812.1;345.4;297;164;79;23;598;10;775;1
LUZ;Lucerne;1996;8784;8.683;-10.3;29.9;17.459;25.565;27.793;384.0;103.3;200;79;15;0;759;0;820;0
LUZ;Lucerne;1997;8760;9.821;-9.4;29.5;17.658;26.0;27.893;475.3;130.8;231;107;22;0;755;1;820;0
LUZ;Lucerne;1998;8760;9.846;-7.5;33.6;18.589;27.565;31.1;937.4;460.0;308;177;96;40;633;6;769;0
LUZ;Lucerne;1999;8760;9.683;-11.5;31.1;17.843;25.3;27.9;382.5;122.5;181;78;20;7;712;3;814;0
LUZ;Lucerne;2000;8784;10.417;-8.6;30.6;18.0;26.665;28.8;641.8;234.9;272;144;47;4;701;1;796;0
LUZ;Lucerne;2001;8760;9.99;-12.0;31.0;18.182;27.1;29.3;796.4;305.2;318;169;65;9;696;1;794;0
LUZ;Lucerne;2002;8760;10.46;-8.4;33.2;18.621;27.2;30.393;825.7;387.2;274;156;82;28;705;6;775;2
LUZ;Lucerne;2003;8760;10.451;-9.3;35.3;21.75;30.4;33.593;2519.1;1346.6;705;458;251;125;416;18;682;1
LUZ;Lucerne;2004;8784;9.799;-8.5;30.4;18.107;26.2;28.493;543.3;186.6;239;121;34;2;678;6;800;0
LUZ;Lucerne;2005;8760;9.546;-14.1;32.7;18.099;27.2;30.7;814.8;393.6;266;160;82;33;693;3;781;0
LUZ;Lucerne;2006;8760;10.144;-7.5;33.2;18.834;28.7;31.293;1411.7;698.2;425;284;149;55;584;10;736;1
LUZ;Lucerne;2007;8760;10.427;-7.5;32.6;17.74;25.7;29.086;486.5;181.7;212;93;39;10;693;3;801;0
LUZ;Lucerne;2008;8784;9.893;-7.6;31.6;18.23;26.2;28.893;589.3;210.3;259;119;43;13;668;5;792;0
LUZ;Lucerne;2009;8760;10.231;-15.2;31.6;18.728;26.965;28.7;694.7;254.9;291;155;43;7;631;2;783;1
LUZ;Lucerne;2010;8760;9.228;-11.1;32.2;18.43;27.5;30.3;915.6;403.2;322;192;84;27;587;11;753;0
LUZ;Lucerne;2011;8760;10.726;-7.9;32.6;17.969;26.5;30.7;703.1;337.8;234;134;71;33;687;5;793;0
LUZ;Lucerne;2012;8784;10.111;-13.7;33.0;18.965;26.765;30.3;814.2;354.7;313;149;80;26;642;7;777;1
LUZ;Lucerne;2013;8760;9.584;-9.2;34.5;18.864;27.765;31.9;1098.1;523.8;371;201;100;47;622;6;750;0
LUZ;Lucerne;2014;8760;10.936;-8.3;33.2;17.794;25.465;29.8;504.9;239.4;176;97;51;19;753;0;813;0
LUZ;Lucerne;2015;8760;10.837;-6.4;34.4;20.562;30.0;33.193;2012.9;1126.8;544;341;224;109;478;23;651;8
LUZ;Lucerne;2016;8784;10.307;-7.7;31.6;18.778;27.3;30.3;862.0;380.4;312;174;84;29;591;11;753;0
LUZ;Lucerne;2017;8760;10.462;-9.0;33.5;19.789;28.2;31.193;1251.9;579.3;441;247;118;45;537;13;726;2
LUZ;Lucerne;2018;8760;11.501;-10.4;33.7;20.598;28.8;31.7;1578.3;780.9;509;301;160;64;517;12;696;4
LUZ;Lucerne;2019;8760;10.929;-5.8;34.6;20.226;29.165;33.0;1661.3;848.7;498;304;150;80;543;15;680;5
LUZ;Lucerne;2020;8784;11.103;-4.5;32.6;18.922;27.3;29.593;877.8;349.0;338;186;74;13;626;10;758;1
LUZ;Lucerne;2021;8760;9.866;-7.8;30.7;18.384;26.5;29.493;645.3;247.6;264;138;51;10;700;5;779;0
LUZ;Lucerne;2022;8760;11.69;-7.1;33.5;20.513;28.7;32.1;1570.3;735.7;526;309;141;60;548;13;707;2
LUZ;Lucerne;2023;8760;11.65;-8.2;35.1;20.489;29.1;32.2;1583.1;788.0;516;289;161;71;502;16;670;6
LUZ;Lucerne;2024;8784;11.252;-7.5;32.0;19.948;27.9;29.9;1119.8;478.6;403;229;106;18;450;26;704;2
MAG;Bellinzone;1981;8760;10.814;-8.9;31.1;19.81;26.6;28.293;817.4;204.0;440;169;30;4;560;10;756;1
MAG;Bellinzone;1982;8760;11.208;-7.7;33.7;20.328;27.265;28.8;1072.4;341.8;489;229;55;8;520;9;752;2
MAG;Bellinzone;1983;8760;10.997;-8.9;36.7;21.098;28.765;30.893;1687.9;763.3;599;339;156;49;487;15;697;0
MAG;Bellinzone;1984;8784;10.413;-8.8;30.8;19.786;27.3;28.9;986.3;318.1;484;193;64;6;588;6;762;0
MAG;Bellinzone;1985;8760;10.609;-11.7;29.9;19.931;27.4;28.8;1003.3;329.8;439;232;56;0;572;11;753;0
MAG;Bellinzone;1986;8760;11.143;-11.3;30.0;20.212;27.5;29.1;1162.2;390.6;502;259;80;0;497;20;673;4
MAG;Bellinzone;1987;8760;11.023;-9.2;30.0;19.607;27.1;28.5;927.0;278.8;431;217;54;0;531;18;686;5
MAG;Bellinzone;1988;8784;11.641;-5.4;30.8;20.039;27.3;28.5;1006.9;315.5;455;236;47;1;544;12;735;1
MAG;Bellinzone;1989;8760;11.506;-6.4;32.3;20.534;27.5;28.8;1235.4;396.5;553;274;63;8;486;15;717;2
MAG;Bellinzone;1990;8760;11.602;-10.7;30.9;20.534;27.565;29.493;1291.7;436.0;555;289;73;11;542;12;723;2
MAG;Bellinzone;1991;8760;11.64;-14.9;32.2;21.762;29.3;30.5;2266.1;1043.9;740;483;236;45;328;36;571;7
MAG;Bellinzone;1992;8784;11.951;-5.6;32.4;21.142;29.3;30.7;1912.6;897.0;626;381;205;49;416;32;582;17
MAG;Bellinzone;1993;8760;11.774;-7.5;29.9;20.794;27.4;28.6;1123.5;341.7;515;256;58;0;437;16;708;2
MAG;Bellinzone;1994;8760;12.88;-4.2;32.4;22.34;29.2;30.793;2283.6;1022.8;766;476;231;53;249;45;536;7
MAG;Bellinzone;1995;8760;12.361;-8.0;33.3;21.285;29.3;31.193;2107.9;1022.8;640;443;233;61;338;37;574;10
MAG;Bellinzone;1996;8784;11.945;-7.7;34.0;21.157;28.4;30.686;1544.8;656.1;562;314;132;32;386;25;660;5
MAG;Bellinzone;1997;8760;11.98;-4.8;30.3;20.034;27.0;28.7;974.5;269.1;478;213;38;4;504;17;728;2
MAG;Bellinzone;1998;8760;11.503;-7.1;31.6;21.275;28.1;30.1;1617.1;627.5;627;352;119;24;376;29;640;5
MAG;Bellinzone;1999;8760;11.807;-7.2;29.6;20.623;26.8;28.2;879.3;220.1;469;188;27;0;430;20;699;1
MAG;Bellinzone;2000;8784;12.093;-7.1;30.1;20.775;27.5;29.0;1191.8;364.7;543;253;68;1;472;13;732;1
MAG;Bellinzone;2001;8760;11.625;-9.8;30.7;20.487;27.6;29.0;1230.4;412.2;531;291;73;6;472;17;710;3
MAG;Bellinzone;2002;8760;11.869;-11.2;31.9;20.73;27.865;30.293;1346.7;502.4;535;288;101;26;475;15;703;6
MAG;Bellinzone;2003;8760;12.519;-6.8;35.2;23.888;31.5;33.293;4144.5;2364.6;1022;739;493;245;196;39;445;16
MAG;Bellinzone;2004;8784;11.82;-8.2;30.9;21.021;27.9;29.693;1335.1;482.9;559;292;93;9;432;21;706;0
MAG;Bellinzone;2005;8760;11.671;-11.4;31.3;21.247;28.6;30.2;1675.6;696.2;615;366;158;32;464;22;634;5
MAG;Bellinzone;2006;8760;11.828;-9.7;33.3;21.36;29.7;31.593;2221.6;1114.6;652;441;245;88;443;23;633;4
MAG;Bellinzone;2007;8760;12.34;-6.9;32.6;20.297;28.2;30.8;1375.8;577.9;529;272;122;46;572;6;767;0
MAG;Bellinzone;2008;8784;11.695;-9.5;31.3;20.743;28.4;29.9;1545.4;631.3;569;334;140;21;477;17;744;0
MAG;Bellinzone;2009;8760;12.209;-8.9;31.5;21.295;28.5;30.093;1849.8;759.1;653;418;161;23;432;18;701;1
MAG;Bellinzone;2010;8760;11.449;-9.5;33.0;21.537;29.3;31.0;2058.6;973.8;667;431;224;64;406;23;612;8
MAG;Bellinzone;2011;8760;12.288;-6.5;31.5;20.444;28.0;30.393;1360.3;556.2;493;290;110;34;511;12;728;0
MAG;Bellinzone;2012;8784;11.929;-15.4;32.7;21.592;29.1;30.9;2164.5;967.8;706;464;206;50;399;21;660;3
MAG;Bellinzone;2013;8760;11.709;-5.1;32.3;21.162;29.1;31.1;2018.0;926.0;671;420;197;55;496;15;715;1
MAG;Bellinzone;2014;8760;12.465;-4.2;31.4;19.842;27.3;29.8;914.4;366.2;372;183;84;17;599;5;781;0
MAG;Bellinzone;2015;8760;12.434;-4.8;34.3;22.425;30.965;32.793;3046.5;1685.2;802;559;354;166;380;29;574;10
MAG;Bellinzone;2016;8784;12.141;-6.9;31.8;21.117;28.7;30.5;1767.6;783.3;601;381;167;36;444;18;699;2
MAG;Bellinzone;2017;8760;12.124;-8.5;33.6;22.118;29.6;31.8;2566.7;1235.9;782;520;258;94;346;28;585;7
MAG;Bellinzone;2018;8760;13.032;-5.8;33.0;22.624;30.3;32.2;3052.2;1595.0;841;596;347;133;335;21;597;5
MAG;Bellinzone;2019;8760;12.806;-6.3;35.8;22.462;30.365;32.693;2773.1;1446.9;776;535;296;125;324;30;556;14
MAG;Bellinzone;2020;8784;12.494;-9.5;33.0;21.528;29.6;31.793;2414.0;1209.5;715;490;269;81;427;19;652;3
MAG;Bellinzone;2021;8760;12.006;-7.8;34.1;21.256;28.9;31.0;1873.9;839.2;635;396;173;49;474;15;709;4
MAG;Bellinzone;2022;8760;13.171;-5.6;34.3;23.108;31.0;33.1;3617.4;2036.0;910;662;430;183;280;35;535;7
MAG;Bellinzone;2023;8760;13.315;-6.1;34.2;22.417;30.3;32.9;2711.6;1397.8;783;509;280;125;330;34;549;12
MAG;Bellinzone;2024;8784;12.682;-6.1;33.1;22.432;30.5;31.893;2847.5;1536.0;781;539;337;157;316;39;540;13
NEU;Neuchatel;1981;8760;9.447;-8.4;30.3;17.442;25.4;28.093;385.2;109.2;197;75;23;1;706;1;794;0
NEU;Neuchatel;1982;8760;10.155;-6.4;30.2;18.32;25.865;28.4;480.3;166.1;228;103;29;1;665;9;762;2
NEU;Neuchatel;1983;8760;10.144;-7.1;34.1;20.188;28.9;32.193;1476.6;739.3;484;267;146;70;532;18;674;7
NEU;Neuchatel;1984;8784;9.348;-6.7;30.8;18.011;25.5;28.8;450.3;161.2;220;85;34;6;702;4;788;0
NEU;Neuchatel;1985;8760;9.352;-17.5;32.2;18.249;26.5;29.293;708.0;271.3;301;144;59;15;668;3;775;0
NEU;Neuchatel;1986;8760;9.583;-12.6;31.9;18.182;27.0;29.4;822.8;311.4;344;174;63;13;617;7;741;0
NEU;Neuchatel;1987;8760;9.475;-16.1;29.6;17.407;25.465;27.5;377.2;103.6;192;89;15;0;643;7;775;0
NEU;Neuchatel;1988;8784;10.258;-6.6;31.8;18.139;26.265;28.6;532.6;203.2;219;119;42;7;675;6;774;0
NEU;Neuchatel;1989;8760;10.674;-4.3;31.3;18.984;26.3;29.2;647.1;220.8;301;133;43;8;585;7;736;1
NEU;Neuchatel;1990;8760;11.073;-4.9;31.9;19.072;27.4;30.093;973.0;387.0;379;207;73;23;580;10;736;0
NEU;Neuchatel;1991;8760;10.21;-10.5;31.2;19.366;26.9;28.9;873.0;275.0;410;197;44;6;516;17;697;2
NEU;Neuchatel;1992;8784;10.801;-8.5;32.4;19.501;27.7;30.4;1020.9;459.7;360;196;97;30;501;22;648;7
NEU;Neuchatel;1993;8760;10.338;-10.3;31.4;18.583;26.6;28.6;608.6;213.1;258;145;34;4;575;11;765;0
NEU;Neuchatel;1994;8760;11.649;-5.4;32.0;20.44;28.3;30.686;1250.6;536.8;458;255;122;35;377;34;599;8
NEU;Neuchatel;1995;8760;10.354;-9.1;33.5;18.825;27.2;29.6;869.8;359.2;334;168;80;17;525;15;705;1
NEU;Neuchatel;1996;8784;9.39;-10.1;29.2;17.924;24.8;27.193;279.1;58.1;178;54;8;0;687;2;799;0
NEU;Neuchatel;1997;8760;10.379;-7.6;29.8;18.0;25.4;27.293;355.5;77.3;213;77;7;0;641;5;795;0
NEU;Neuchatel;1998;8760;10.408;-7.4;33.5;19.178;27.6;31.1;1011.5;467.1;351;196;94;39;531;13;705;5
NEU;Neuchatel;1999;8760;10.341;-8.2;30.2;18.319;24.8;27.086;264.7;60.9;170;49;10;1;656;5;777;0
NEU;Neuchatel;2000;8784;10.978;-10.2;29.9;18.55;26.5;28.793;625.0;219.4;276;132;51;0;632;4;766;0
NEU;Neuchatel;2001;8760;10.495;-11.0;31.1;18.765;26.765;28.893;709.3;245.0;326;154;43;6;580;9;733;0
NEU;Neuchatel;2002;8760;10.955;-6.9;32.5;19.027;26.9;29.9;749.5;328.3;277;149;71;19;604;10;738;4
NEU;Neuchatel;2003;8760;11.115;-9.5;35.7;22.604;31.3;33.9;2985.7;1628.0;808;538;303;159;281;36;510;18
NEU;Neuchatel;2004;8784;10.3;-5.5;30.8;18.461;25.9;28.193;496.8;143.4;254;104;25;7;612;8;763;0
NEU;Neuchatel;2005;8760;10.103;-11.6;33.6;19.004;27.5;30.586;885.8;425.0;296;177;92;28;607;11;727;1
NEU;Neuchatel;2006;8760;10.694;-6.8;33.3;19.393;28.3;31.2;1278.7;621.3;410;247;126;55;489;22;648;5
NEU;Neuchatel;2007;8760;10.852;-6.3;30.2;17.922;24.8;27.5;291.5;82.0;159;54;17;1;663;8;765;2
NEU;Neuchatel;2008;8784;10.318;-6.5;30.5;18.634;26.0;28.479;544.1;158.9;271;107;27;5;572;13;720;3
NEU;Neuchatel;2009;8711;10.956;-9.4;33.1;19.436;26.7;29.193;769.1;275.7;327;161;53;11;555;11;716;1
NEU;Neuchatel;2010;8760;9.812;-9.0;32.7;19.136;27.8;30.393;996.9;447.4;352;197;95;30;553;14;694;3
